My Birthday Song,माय बर्थडे सॉंग
Vodka Diaries,वोडका डायरीज़
Union Leader,यूनियन लीडर
Wo India Ka Shakespeare,वो इंडिया का शेक्सपीयर
Love Per Square Foot,लव पर स्क्वेयर फूट
Jaane Kyun De Yaaron,जाने क्यूं दे यारों
Welcome To New York,वेलकम टू न्यू यॉर्क
Veerey Ki Wedding,वीरे की वेडिंग
3 Storeys,3 स्टोरीज़
Raid,रेड
Raja Abroadiya,राजा अबरोडिया
Baa Baaa Black Sheep,बा बा ब्लैक शीप
Baaghi 2,बाघी २
Missing,मिसिंग
Mercury,मरक्युरी
Beyond the Clouds,बियॉन्ड द क्लाउड्स
The Past,द पास्ट
Hope Aur Hum,होप और हम
Parmanu: The Story Of Pokhran,परमाणु: द स्टोरी ऑफ़ पोखरण
One Night Out,वन नाइट आउट
Phamous,फेमस
Kaala,काला
Dhadak,धड़क
Fanney Khan,फन्ने खान
Karwaan,कारवां
Happy Phirr Bhag Jayegi,हैप्पी फिर भाग जायगी
Yamla Pagla Deewana: Phir Se,यमला पगला दीवाना: फिर से
Manmarziyaan,मनमर्ज़ियाँ
Love Sonia ,लव सोनिया
Mitron,मित्रों
Batti Gul Meter Chalu,बत्ती गुल मीटर चालु
Pataakha,पटाखा
Andhadhun,अंधाधुन
Tumbbad,तुम्बबाद
Badhaai Ho,बधाई हो
5 Weddings,5 वेड्डिंग्स
Kaashi in Search of Ganga,काशी इन सर्च ऑफ़ गंगा
Lupt,लुप्त
Jack and Dil,जैक एंड दिल
Mausam Ikrar Ke Do Pal Pyar Ke,मौसम इकरार के दो पल प्यार के
Thugs of Hindostan,ठग्स ऑफ हिंदोस्तान
The Accidental Prime Minister,द एक्सीडेंटल प्राइम मिनिस्टर
Kaalakaandi,कालकांडी
Mukkabaaz,मुक्काबाज़
Nirdosh,निर्दोश
Padmaavat,पद्मावत
Pad Man,पॅड मैन
Aiyaary,अय्यारी
Kuchh Bheege Alfaaz,कुछ भीगे अलफ़ाज़
Sonu Ke Titu Ki Sweety,सोनू के टीटू की स्वीटी
Pari,परी
Hate Story 4,हेट स्टोरी 4
Dil Juunglee,दिल जंगली
Hichki,हिचकी
Blackmail ,ब्लैकमेल 
October,अक्टूबर
Nanu Ki Jaanu,नानू की जानू
Daas Dev,दास देव
102 Not Out,102 नॉट आउट
Omerta,ओमेरटा
Raazi,राज़ी
High Jack,हाई जैक
Khajoor Pe Atke,खजूर पे अटके
Bioscopewala,बायोस्कोपवाला
Veere Di Wedding,वीरे दी वेडिंग
Bhavesh Joshi Superhero,भावेश जोशी सुपरहीरो
Race 3,रेस 3
Sanju,संजू
Soorma,सूरमा
Ekta,एकता
Saheb,साहेब
Nawabzaade,नवाबजादे
Mulk,मुल्क
Brij Mohan Amar Rahe!,बृजमोहन अमर रहे!
Laxmi and Tikli Bomb,लक्ष्मी एंड टिकली बोम्ब
Vishwaroopam II,विश्वरूपम द्वितीय
Gold,गोल्ड
Satyameva Jayate,सत्यमेव जयते
Genius,जीनियस
Stree,स्त्री
Paltan,पल्टन
Laila Majnu,लैला मजनू
Gali Guleiyan,गली गुलियान
Hotel Milan,होटल मिलान
Manto ,मंटो 
Ishqeria,इश्क़ीरिया
Sui Dhaaga,सुई धागा
Loveyatri,लवयात्री
Jalebi,जलेबी
Helicopter Eela,हेलीकाप्टर ईला
FryDay,फ्राईडे
Namaste England,नमस्ते इंग्लैंड
Baazaar,बाज़ार
Bhaiaji Superhit,भैयाजी सुपरहिट
Marudhar Express,मरुधर एक्सप्रेस
Nastik,नास्तिक
Dussehra,दशहरा
Haathi Mere Saathi,हाथी मेरे साथी
Mohalla Assi,मोहल्ला अस्सी
Kedarnath,केदारनाथ
Total Dhamaal,कुल धमाल
Mangal Ho,मंगल हो
Zero,जीरो
Simmba,सिम्बा
