[2020-05-23T05:59:58.328+0000][364][gc] Using Concurrent Mark Sweep
[2020-05-23T05:59:58.328+0000][364][gc,heap,coops] Heap address: 0x00000000c0000000, size: 1024 MB, Compressed Oops mode: 32-bit
[2020-05-23T05:59:58.378+0000][364][safepoint    ] Entering safepoint region: EnableBiasedLocking
[2020-05-23T05:59:58.379+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T05:59:58.379+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001292 seconds, Stopping threads took: 0.0000549 seconds
[2020-05-23T05:59:58.382+0000][364][safepoint    ] Application time: 0.0033929 seconds
[2020-05-23T05:59:58.382+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T05:59:58.382+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T05:59:58.382+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000804 seconds, Stopping threads took: 0.0000174 seconds
[2020-05-23T05:59:58.822+0000][364][safepoint    ] Application time: 0.4394628 seconds
[2020-05-23T05:59:58.822+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T05:59:58.822+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T05:59:58.822+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000837 seconds, Stopping threads took: 0.0000116 seconds
[2020-05-23T05:59:58.833+0000][364][safepoint    ] Application time: 0.0112246 seconds
[2020-05-23T05:59:58.833+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T05:59:58.833+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T05:59:58.833+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000699 seconds, Stopping threads took: 0.0000128 seconds
[2020-05-23T05:59:59.056+0000][364][safepoint    ] Application time: 0.2231432 seconds
[2020-05-23T05:59:59.056+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T05:59:59.056+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T05:59:59.056+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000983 seconds, Stopping threads took: 0.0000153 seconds
[2020-05-23T05:59:59.060+0000][364][safepoint    ] Application time: 0.0035655 seconds
[2020-05-23T05:59:59.060+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T05:59:59.060+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T05:59:59.060+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001164 seconds, Stopping threads took: 0.0000196 seconds
[2020-05-23T06:00:00.060+0000][364][safepoint    ] Application time: 1.0001224 seconds
[2020-05-23T06:00:00.060+0000][364][safepoint    ] Entering safepoint region: Cleanup
[2020-05-23T06:00:00.060+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:00.060+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001318 seconds, Stopping threads took: 0.0000276 seconds
[2020-05-23T06:00:00.457+0000][364][safepoint    ] Application time: 0.3967314 seconds
[2020-05-23T06:00:00.457+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:00.457+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:00.457+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001282 seconds, Stopping threads took: 0.0000098 seconds
[2020-05-23T06:00:00.458+0000][364][safepoint    ] Application time: 0.0007642 seconds
[2020-05-23T06:00:00.458+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:00.458+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:00.458+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001358 seconds, Stopping threads took: 0.0000162 seconds
[2020-05-23T06:00:00.668+0000][364][safepoint    ] Application time: 0.2096781 seconds
[2020-05-23T06:00:00.668+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:00.668+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:00.668+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001576 seconds, Stopping threads took: 0.0000101 seconds
[2020-05-23T06:00:01.006+0000][364][safepoint    ] Application time: 0.3376051 seconds
[2020-05-23T06:00:01.006+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:01.006+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:01.006+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001787 seconds, Stopping threads took: 0.0000150 seconds
[2020-05-23T06:00:01.912+0000][364][safepoint    ] Application time: 0.9063428 seconds
[2020-05-23T06:00:01.912+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:01.913+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:01.913+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0002409 seconds, Stopping threads took: 0.0000154 seconds
[2020-05-23T06:00:02.588+0000][364][safepoint    ] Application time: 0.6757551 seconds
[2020-05-23T06:00:02.588+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:02.589+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:02.589+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001851 seconds, Stopping threads took: 0.0000103 seconds
[2020-05-23T06:00:02.589+0000][364][safepoint    ] Application time: 0.0001069 seconds
[2020-05-23T06:00:02.589+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:02.589+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:02.589+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001306 seconds, Stopping threads took: 0.0000079 seconds
[2020-05-23T06:00:03.402+0000][364][safepoint    ] Application time: 0.8135441 seconds
[2020-05-23T06:00:03.403+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:03.403+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:03.403+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001737 seconds, Stopping threads took: 0.0000106 seconds
[2020-05-23T06:00:03.566+0000][364][safepoint    ] Application time: 0.1629396 seconds
[2020-05-23T06:00:03.566+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:03.566+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:03.566+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001676 seconds, Stopping threads took: 0.0000094 seconds
[2020-05-23T06:00:03.651+0000][364][safepoint    ] Application time: 0.0856441 seconds
[2020-05-23T06:00:03.652+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:03.652+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:03.652+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0009107 seconds, Stopping threads took: 0.0008120 seconds
[2020-05-23T06:00:03.653+0000][364][safepoint    ] Application time: 0.0009698 seconds
[2020-05-23T06:00:03.653+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:03.654+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:03.654+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001420 seconds, Stopping threads took: 0.0000149 seconds
[2020-05-23T06:00:03.654+0000][364][safepoint    ] Application time: 0.0000954 seconds
[2020-05-23T06:00:03.654+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:03.654+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:03.654+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001225 seconds, Stopping threads took: 0.0000481 seconds
[2020-05-23T06:00:03.654+0000][364][safepoint    ] Application time: 0.0001768 seconds
[2020-05-23T06:00:03.654+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:03.654+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:03.654+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001449 seconds, Stopping threads took: 0.0000433 seconds
[2020-05-23T06:00:03.658+0000][364][safepoint    ] Application time: 0.0033352 seconds
[2020-05-23T06:00:03.658+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:03.658+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:03.658+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000824 seconds, Stopping threads took: 0.0000272 seconds
[2020-05-23T06:00:03.667+0000][364][safepoint    ] Application time: 0.0088719 seconds
[2020-05-23T06:00:03.667+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:03.667+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:03.667+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001877 seconds, Stopping threads took: 0.0000127 seconds
[2020-05-23T06:00:03.737+0000][364][safepoint    ] Application time: 0.0705275 seconds
[2020-05-23T06:00:03.737+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:03.737+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:03.737+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000861 seconds, Stopping threads took: 0.0000149 seconds
[2020-05-23T06:00:04.280+0000][364][safepoint    ] Application time: 0.5428568 seconds
[2020-05-23T06:00:04.280+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.280+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.280+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000967 seconds, Stopping threads took: 0.0000129 seconds
[2020-05-23T06:00:04.310+0000][364][safepoint    ] Application time: 0.0293149 seconds
[2020-05-23T06:00:04.310+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.310+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.310+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000616 seconds, Stopping threads took: 0.0000156 seconds
[2020-05-23T06:00:04.310+0000][364][safepoint    ] Application time: 0.0000797 seconds
[2020-05-23T06:00:04.310+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.310+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.310+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000384 seconds, Stopping threads took: 0.0000096 seconds
[2020-05-23T06:00:04.368+0000][364][safepoint    ] Application time: 0.0577712 seconds
[2020-05-23T06:00:04.368+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:04.368+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.368+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0003359 seconds, Stopping threads took: 0.0000155 seconds
[2020-05-23T06:00:04.470+0000][364][safepoint    ] Application time: 0.1016588 seconds
[2020-05-23T06:00:04.470+0000][364][safepoint    ] Entering safepoint region: Deoptimize
[2020-05-23T06:00:04.470+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.470+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0002412 seconds, Stopping threads took: 0.0000148 seconds
[2020-05-23T06:00:04.489+0000][364][safepoint    ] Application time: 0.0188524 seconds
[2020-05-23T06:00:04.489+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.490+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.490+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0006442 seconds, Stopping threads took: 0.0005051 seconds
[2020-05-23T06:00:04.490+0000][364][safepoint    ] Application time: 0.0000610 seconds
[2020-05-23T06:00:04.490+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.490+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.490+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001426 seconds, Stopping threads took: 0.0000534 seconds
[2020-05-23T06:00:04.492+0000][364][safepoint    ] Application time: 0.0023479 seconds
[2020-05-23T06:00:04.492+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.493+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.493+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0003343 seconds, Stopping threads took: 0.0002456 seconds
[2020-05-23T06:00:04.493+0000][364][safepoint    ] Application time: 0.0003321 seconds
[2020-05-23T06:00:04.493+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.493+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.493+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000888 seconds, Stopping threads took: 0.0000143 seconds
[2020-05-23T06:00:04.493+0000][364][safepoint    ] Application time: 0.0001716 seconds
[2020-05-23T06:00:04.493+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.493+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.493+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000993 seconds, Stopping threads took: 0.0000356 seconds
[2020-05-23T06:00:04.503+0000][364][safepoint    ] Application time: 0.0097756 seconds
[2020-05-23T06:00:04.503+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.503+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.503+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000970 seconds, Stopping threads took: 0.0000204 seconds
[2020-05-23T06:00:04.504+0000][364][safepoint    ] Application time: 0.0005765 seconds
[2020-05-23T06:00:04.504+0000][364][safepoint    ] Entering safepoint region: RevokeBias
